uid,date,session_id,session_duration_in_seconds
sJHi3tHqLLOnTwSlvhvLGIKeimD2,2024-06-04,2.0,3671.813
sJHi3tHqLLOnTwSlvhvLGIKeimD2,2024-06-08,3.0,337337.822
t9cM4WpKxdhhI6qYJ4hOJv3klds2,2024-05-15,1.0,944.2410000000001
uAncaFrlwHdOlav3P7h4cAm3bMJ3,2024-05-16,1.0,260.387
uAncaFrlwHdOlav3P7h4cAm3bMJ3,2024-05-16,2.0,4057.877
uAncaFrlwHdOlav3P7h4cAm3bMJ3,2024-05-17,3.0,65023.458
uXAgoC9mauMMGQMahyxiuHhGnGJ3,2024-05-22,1.0,531.071
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-16,1.0,395.407
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-16,2.0,18630.999
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-18,3.0,167122.164
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-18,4.0,12234.583
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-21,5.0,256887.538
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-22,6.0,40402.543000000005
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-25,7.0,301498.565
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-28,8.0,262192.47500000003
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-05-29,9.0,25799.832000000002
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-06-01,10.0,264836.484
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-06-02,11.0,116053.447
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-06-02,12.0,4939.217
uXnnBb0D5yZiOrroCy3JCZ6FxPR2,2024-06-02,13.0,2122.518
uemnt3PK12UzfqRGT2c5YkrPJMr1,2024-05-20,1.0,74.309
vTXv1CGFmNZy9lQOOMKMj0tkZxh2,2024-05-19,1.0,0.0
vTXv1CGFmNZy9lQOOMKMj0tkZxh2,2024-06-02,2.0,1139039.549
xAMdtkw2WJcF7BJ2cPyscJzMosa2,2024-06-04,1.0,233.52700000000002
xd90PSoHbugHnzRD3eqHotP076X2,2024-06-03,1.0,600.838
xd90PSoHbugHnzRD3eqHotP076X2,2024-06-03,2.0,16711.183
